ltrans=1.0;unitid=00:00:24:c4:67:b0;timestamp=1206698418
timestamp;lat;lon;speed;direction;toerental_schroef_1;toerental_schroef_2
1206703025;52.485450;4.810283;0.000000;0.000000;12352;48
1206703030;52.485433;4.810333;0.000000;0.000000;12395;48
1206703035;52.485417;4.810367;0.000000;0.000000;12395;48
1206703040;52.485383;4.810450;0.000000;0.000000;12395;48
1206703045;52.485383;4.810433;0.000000;0.000000;12394;48
1206703050;52.485383;4.810433;0.000000;0.000000;12390;48
1206703056;52.485383;4.810450;0.000000;0.000000;12395;48
1206703061;52.485400;4.810400;0.000000;0.000000;12395;48
1206703066;52.485400;4.810400;0.000000;0.000000;12395;48
1206703071;52.485417;4.810367;0.000000;0.000000;12395;48
1206703077;52.485417;4.810333;0.000000;0.000000;12436;48
1206703083;52.485433;4.810283;1.710000;305.100000;12436;48
1206703088;52.485433;4.810283;0.000000;0.000000;12394;48
1206703093;52.485433;4.810283;0.000000;0.000000;12400;47
1206703098;52.485433;4.810283;0.000000;0.000000;12436;47
1206703103;52.485433;4.810283;0.000000;0.000000;12393;48
1206703108;52.485433;4.810283;0.000000;0.000000;12397;48
1206703114;52.485433;4.810267;0.000000;0.000000;12436;48
1206703119;52.485433;4.810250;0.000000;0.000000;12397;48
1206703124;52.485450;4.810217;0.000000;0.000000;12436;48
1206703129;52.485550;4.809783;0.000000;0.000000;12437;48
1206703134;52.485550;4.809783;0.000000;0.000000;12394;48
1206703139;52.485550;4.809800;0.000000;0.000000;12395;48
1206703146;52.485517;4.809917;3.540000;127.200000;12395;48
1206703151;52.485367;4.810317;0.000000;0.000000;12395;48
1206703156;52.485417;4.810233;0.000000;0.000000;12394;48
1206703161;52.485467;4.810133;0.000000;0.000000;12436;48
1206703166;52.485500;4.810067;0.000000;0.000000;12436;48
1206703172;52.485517;4.810033;0.000000;0.000000;12436;48
1206703177;52.485517;4.810033;0.000000;0.000000;6404;48
1206703182;52.485533;4.810033;1.600000;111.900000;964;47
1206703187;52.485500;4.810117;0.000000;0.000000;456;48
1206703192;52.485517;4.810050;0.000000;0.000000;278;48
1206703197;52.485517;4.810050;0.000000;0.000000;197;48
1206703213;52.485467;4.810217;0.000000;0.000000;116;48
1206703221;52.485483;4.810200;0.000000;0.000000;111;48
1206703226;52.485450;4.810267;0.000000;0.000000;114;48
1206703232;52.485450;4.810267;0.000000;0.000000;109;48
1206703237;52.485450;4.810267;0.000000;0.000000;116;48
1206703242;52.485450;4.810283;0.000000;0.000000;108;48
1206703247;52.485450;4.810300;0.000000;0.000000;109;48
1206703252;52.485450;4.810283;0.000000;0.000000;67;48
1206703257;52.485467;4.810250;0.000000;0.000000;67;48
1206703263;52.485450;4.810267;0.000000;0.000000;67;48
1206703269;52.485450;4.810283;0.000000;0.000000;67;48
1206703274;52.485450;4.810283;0.000000;0.000000;67;48
1206703279;52.485450;4.810283;0.000000;0.000000;67;48
1206703284;52.485450;4.810283;0.000000;0.000000;67;48
1206703289;52.485450;4.810283;0.000000;0.000000;70;48
1206703294;52.485450;4.810267;0.000000;0.000000;27;48
1206703300;52.485450;4.810267;0.000000;0.000000;27;48
1206703305;52.485433;4.810283;0.000000;0.000000;27;48
1206703310;52.485433;4.810283;0.000000;0.000000;27;48
1206703315;52.485433;4.810300;0.000000;0.000000;27;48
1206703320;52.485417;4.810317;0.000000;0.000000;25;48
1206703327;52.485433;4.810283;0.000000;0.000000;25;48
1206703332;52.485433;4.810283;0.000000;0.000000;27;48
1206703337;52.485433;4.810283;0.000000;0.000000;27;48
1206703343;52.485433;4.810300;0.000000;0.000000;27;49
1206703348;52.485433;4.810283;0.000000;0.000000;27;48
1206703353;52.485433;4.810283;0.000000;0.000000;27;48
1206703358;52.485433;4.810283;0.000000;0.000000;27;48
1206703363;52.485433;4.810283;0.000000;0.000000;27;48
1206703368;52.485433;4.810283;0.000000;0.000000;27;48
1206703373;52.485450;4.810283;0.000000;0.000000;27;48
1206703379;52.485450;4.810300;0.000000;0.000000;27;48
1206703385;52.485450;4.810300;0.000000;0.000000;27;48
1206703390;52.485433;4.810317;0.000000;0.000000;27;48
1206703396;52.485433;4.810333;0.000000;0.000000;27;48
1206703401;52.485450;4.810317;0.000000;0.000000;27;47
1206703406;52.485450;4.810317;0.000000;0.000000;27;48
1206703411;52.485450;4.810317;0.000000;0.000000;27;48
1206703416;52.485433;4.810350;0.000000;0.000000;27;47
1206703421;52.485433;4.810333;0.000000;0.000000;27;48
1206703426;52.485433;4.810333;0.000000;0.000000;27;48
1206703432;52.485433;4.810333;0.000000;0.000000;25;48
1206703437;52.485433;4.810333;0.000000;0.000000;27;48
1206703443;52.485433;4.810333;0.000000;0.000000;27;48
1206703448;52.485433;4.810333;0.000000;0.000000;27;48
1206703453;52.485433;4.810333;0.000000;0.000000;25;48
1206703458;52.485433;4.810333;0.000000;0.000000;27;48
1206703463;52.485433;4.810333;0.000000;0.000000;27;48
1206703469;52.485433;4.810333;0.000000;0.000000;27;48
1206703474;52.485433;4.810333;1.540000;14.200000;27;48
1206703479;52.485450;4.810300;0.000000;0.000000;27;48
1206703484;52.485450;4.810300;0.000000;0.000000;27;48
1206703489;52.485467;4.810250;0.000000;0.000000;27;48
1206703494;52.485433;4.810300;0.000000;0.000000;27;47
1206703499;52.485433;4.810300;0.000000;0.000000;27;48
1206703515;52.485417;4.810333;0.000000;0.000000;27;48
1206703524;52.485400;4.810300;0.000000;0.000000;27;48
1206703529;52.485367;4.810383;0.000000;0.000000;27;48
1206703534;52.485367;4.810383;0.000000;0.000000;27;48
1206703539;52.485383;4.810383;0.000000;0.000000;27;48
1206703544;52.485383;4.810367;0.000000;0.000000;32;48
1206703550;52.485383;4.810367;0.000000;0.000000;27;48
1206703555;52.485400;4.810350;0.000000;0.000000;27;48
1206703560;52.485417;4.810333;0.000000;0.000000;25;48
1206703567;52.485417;4.810317;0.000000;0.000000;25;47
1206703572;52.485417;4.810317;0.000000;0.000000;25;47
1206703577;52.485433;4.810317;0.000000;0.000000;27;48
1206703582;52.485433;4.810317;0.000000;0.000000;27;48
1206703587;52.485433;4.810317;0.000000;0.000000;27;48
1206703592;52.485433;4.810317;0.000000;0.000000;27;48
1206703598;52.485433;4.810300;0.000000;0.000000;27;48
1206703603;52.485433;4.810300;0.000000;0.000000;27;48
1206703608;52.485433;4.810333;0.000000;0.000000;27;48
1206703613;52.485450;4.810333;0.000000;0.000000;27;48
1206703618;52.485450;4.810333;0.000000;0.000000;27;48
1206703625;52.485450;4.810333;0.000000;0.000000;27;48
1206703630;52.485450;4.810333;0.000000;0.000000;25;48
1206703635;52.485467;4.810383;14.850000;62.200000;25;48
1206703640;52.485417;4.810517;0.000000;0.000000;27;48
1206703645;52.485450;4.810417;0.000000;0.000000;25;48
1206703650;52.485450;4.810383;0.000000;0.000000;25;47
1206703655;52.485433;4.810383;0.000000;0.000000;27;48
1206703661;52.485433;4.810367;0.000000;0.000000;27;48
